model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
3383,Not Fit,11,16,16,16,16,32,22,18206,8999,48
5815,Fit,5,16,16,16,16,128,22,18206,9003,48
5816,Fit,8,16,16,16,16,64,22,18206,9001,48
5814,Fit,11,16,16,16,16,32,22,18206,8999,48
39562,Not Fit,5,16,16,16,16,128,22,18206,9003,48
39563,Not Fit,8,16,16,16,16,64,22,18206,9001,48
39561,Not Fit,11,16,16,16,16,32,22,18206,8999,48
43158,Not Fit,5,16,16,16,16,128,22,18206,9003,48
43159,Not Fit,8,16,16,16,16,64,22,18206,9001,48
43157,Not Fit,11,16,16,16,16,32,22,18206,8999,48
39684,Fit,5,16,16,16,16,128,22,18206,9003,48
39685,Fit,8,16,16,16,16,64,22,18206,9001,48
39683,Fit,11,16,16,16,16,32,22,18206,8999,48
25193,Not Fit,5,16,16,16,16,128,22,18206,9003,48
25194,Not Fit,8,16,16,16,16,64,22,18206,9001,48
25192,Not Fit,11,16,16,16,16,32,22,18206,8999,48
37296,Not Fit,5,16,16,16,16,128,22,18206,9003,48
37297,Not Fit,8,16,16,16,16,64,22,18206,9001,48
37295,Not Fit,11,16,16,16,16,32,22,18206,8999,48
2804,Not Fit,5,16,16,16,16,128,22,18206,9003,48
2805,Not Fit,8,16,16,16,16,64,22,18206,9001,48
2803,Not Fit,11,16,16,16,16,32,22,18206,8999,48
2611,Not Fit,5,16,16,16,16,128,22,18206,9003,48
2612,Not Fit,8,16,16,16,16,64,22,18206,9001,48
2610,Not Fit,11,16,16,16,16,32,22,18206,8999,48
18032,Not Fit,5,16,16,16,16,128,22,18206,9003,48
18033,Not Fit,8,16,16,16,16,64,22,18206,9001,48
18031,Not Fit,11,16,16,16,16,32,22,18206,8999,48
1631,Not Fit,5,16,16,16,16,128,22,18206,9003,48
1632,Not Fit,8,16,16,16,16,64,22,18206,9001,48
1630,Not Fit,11,16,16,16,16,32,22,18206,8999,48
19199,Not Fit,5,16,16,16,16,128,22,18206,9003,48
19200,Not Fit,8,16,16,16,16,64,22,18206,9001,48
19198,Not Fit,11,16,16,16,16,32,22,18206,8999,48
33065,Not Fit,5,16,16,16,16,128,22,18206,9003,48
33066,Not Fit,8,16,16,16,16,64,22,18206,9001,48
33064,Not Fit,11,16,16,16,16,32,22,18206,8999,48
33545,Not Fit,5,16,16,16,16,128,22,18206,9003,48
33546,Not Fit,8,16,16,16,16,64,22,18206,9004,48
33544,Not Fit,11,16,16,16,16,32,22,18206,8999,48
